Building,Room,Equipment,Responsible_Department,Faculty_Name,Faculty_Email,Last_Calibrated,Next_Calibration_Due,Photo_Link,SOP_Link,PO_Link,Purchase_Date,Cost,Vendor,Warranty_Until,Funding_Source,AMC_Renewal_Due,Service_Due
JC BOSE Block,JC308,Compression Testing Machine,Chemistry,Dr. H. Pranav,incharge.jc308@srmap.edu.in,13-08-2025,13-08-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/compression-testing-machine.pdf,https://example.com/po/PO-1024.pdf,24-10-2023,125000,SRM Scientific Supplies,04-07-2026,Consultancy Fund,08-08-2026,17-06-2026
JC BOSE Block,JC308,Hot Air Oven,Mechanical Engineering,Dr. H. Pranav,incharge.jc308@srmap.edu.in,09-07-2025,09-07-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/hot-air-oven.pdf,https://example.com/po/PO-1025.pdf,27-02-2023,45000,Precision Instruments,04-06-2026,Department Budget,11-12-2026,21-11-2026
JC BOSE Block,JC308,Incubator,Electrical Engineering,Dr. H. Pranav,incharge.jc308@srmap.edu.in,11-11-2025,11-11-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/incubator.pdf,https://example.com/po/PO-1026.pdf,17-10-2025,500000,EnviroLab India,04-06-2026,Consultancy Fund,11-12-2026,17-06-2026
JC BOSE Block,JC308,Rainfall Simulator,Civil Engineering,Dr. H. Pranav,incharge.jc308@srmap.edu.in,15-05-2025,15-05-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/rainfall-simulator.pdf,https://example.com/po/PO-1027.pdf,25-07-2023,500000,SRM Scientific Supplies,12-10-2026,Consultancy Fund,19-06-2026,24-07-2026
JC BOSE Block,JC308,Vicat Apparatus,Physics,Dr. H. Pranav,incharge.jc308@srmap.edu.in,12-09-2025,12-09-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/vicat-apparatus.pdf,https://example.com/po/PO-1028.pdf,05-10-2022,125000,GeoSense Systems,12-10-2026,SERB Project,02-10-2026,21-11-2026
JC BOSE Block,JC309,Concrete Mixer,Civil Engineering,Dr. I. Tousif,incharge.jc309@srmap.edu.in,12-09-2025,12-09-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/concrete-mixer.pdf,https://example.com/po/PO-1029.pdf,18-11-2019,750000,BuildTest Equipments,30-04-2026,Department Budget,14-07-2026,30-05-2026
JC BOSE Block,JC309,Compression Testing Machine,Electrical Engineering,Dr. I. Tousif,incharge.jc309@srmap.edu.in,13-08-2025,13-08-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/compression-testing-machine.pdf,https://example.com/po/PO-1030.pdf,12-03-2024,75000,BuildTest Equipments,30-04-2026,Institute Fund,25-05-2026,21-11-2026
JC BOSE Block,JC310,Vicat Apparatus,Environmental Science,Dr. J. Vinayak,incharge.jc310@srmap.edu.in,13-08-2025,13-08-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/vicat-apparatus.pdf,https://example.com/po/PO-1031.pdf,14-03-2023,250000,GeoSense Systems,30-04-2026,CSR Grant,25-05-2026,24-07-2026
JC BOSE Block,JC310,Incubator,Computer Science,Dr. J. Vinayak,incharge.jc310@srmap.edu.in,24-06-2025,24-06-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/incubator.pdf,https://example.com/po/PO-1032.pdf,09-06-2022,750000,SRM Scientific Supplies,04-07-2026,Institute Fund,08-08-2026,17-06-2026
JC BOSE Block,JC310,Muffle Furnace,Mechanical Engineering,Dr. J. Vinayak,incharge.jc310@srmap.edu.in,13-08-2025,13-08-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/muffle-furnace.pdf,https://example.com/po/PO-1033.pdf,08-11-2025,180000,BuildTest Equipments,09-02-2027,SERB Project,28-08-2026,30-05-2026
JC BOSE Block,JC311,Turbidity Meter,Computer Science,Dr. K. Rupesh,incharge.jc311@srmap.edu.in,09-06-2025,09-06-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/turbidity-meter.pdf,https://example.com/po/PO-1034.pdf,25-10-2021,45000,Precision Instruments,29-07-2026,Department Budget,08-08-2026,21-11-2026
JC BOSE Block,JC311,Spectrophotometer,Mechanical Engineering,Dr. K. Rupesh,incharge.jc311@srmap.edu.in,09-06-2025,09-06-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/spectrophotometer.pdf,https://example.com/po/PO-1035.pdf,08-08-2022,125000,SRM Scientific Supplies,04-06-2026,SERB Project,14-07-2026,30-05-2026
JC BOSE Block,JC311,Los Angeles Abrasion Machine,Computer Science,Dr. K. Rupesh,incharge.jc311@srmap.edu.in,09-06-2025,09-06-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/los-angeles-abrasion-machine.pdf,https://example.com/po/PO-1036.pdf,07-08-2023,750000,SRM Scientific Supplies,02-09-2026,Institute Fund,02-10-2026,22-09-2026
JC BOSE Block,JC311,Vicat Apparatus,Civil Engineering,Dr. K. Rupesh,incharge.jc311@srmap.edu.in,11-11-2025,11-11-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/vicat-apparatus.pdf,https://example.com/po/PO-1037.pdf,03-12-2024,350000,GeoSense Systems,12-10-2026,CSR Grant,14-07-2026,30-05-2026
JC BOSE Block,JC312,Marshal Stability Apparatus,Civil Engineering,Dr. L. Tomy,incharge.jc312@srmap.edu.in,12-09-2025,12-09-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/marshal-stability-apparatus.pdf,https://example.com/po/PO-1038.pdf,14-09-2024,350000,BuildTest Equipments,04-06-2026,Department Budget,19-06-2026,23-08-2026
JC BOSE Block,JC312,Total Station,Environmental Science,Dr. L. Tomy,incharge.jc312@srmap.edu.in,09-06-2025,09-06-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/total-station.pdf,https://example.com/po/PO-1039.pdf,19-04-2024,45000,SRM Scientific Supplies,12-10-2026,DST Project,25-05-2026,02-07-2026
JC BOSE Block,JC312,Drone Kit,Chemistry,Dr. L. Tomy,incharge.jc312@srmap.edu.in,24-06-2025,24-06-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/drone-kit.pdf,https://example.com/po/PO-1040.pdf,28-02-2023,125000,GeoSense Systems,04-06-2026,DST Project,11-12-2026,23-08-2026
JC BOSE Block,JC312,GPS Handheld Unit,Environmental Science,Dr. L. Tomy,incharge.jc312@srmap.edu.in,15-05-2025,15-05-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/gps-handheld-unit.pdf,https://example.com/po/PO-1041.pdf,22-12-2023,500000,Precision Instruments,12-10-2026,CSR Grant,19-06-2026,22-09-2026
JC BOSE Block,JC312,Digital Microscope,Mechanical Engineering,Dr. L. Tomy,incharge.jc312@srmap.edu.in,09-06-2025,09-06-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/digital-microscope.pdf,https://example.com/po/PO-1042.pdf,06-03-2023,500000,LabTech Instruments,29-07-2026,Consultancy Fund,11-12-2026,22-09-2026
JC BOSE Block,JC313,Slump Cone Set,Electronics and Communication,Dr. M. Halkarni,incharge.jc313@srmap.edu.in,24-06-2025,24-06-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/slump-cone-set.pdf,https://example.com/po/PO-1043.pdf,18-10-2020,180000,LabTech Instruments,02-09-2026,CSR Grant,11-12-2026,21-11-2026
JC BOSE Block,JC313,Auto Level,Mechanical Engineering,Dr. M. Halkarni,incharge.jc313@srmap.edu.in,24-06-2025,24-06-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/auto-level.pdf,https://example.com/po/PO-1044.pdf,17-10-2023,250000,SRM Scientific Supplies,12-10-2026,CSR Grant,14-07-2026,21-11-2026
JC BOSE Block,JC314,Incubator,Civil Engineering,Dr. N. Javid,incharge.jc314@srmap.edu.in,09-06-2025,09-06-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/incubator.pdf,https://example.com/po/PO-1045.pdf,31-08-2024,75000,BuildTest Equipments,29-07-2026,Consultancy Fund,28-08-2026,02-07-2026
JC BOSE Block,JC314,Rainfall Simulator,Mechanical Engineering,Dr. N. Javid,incharge.jc314@srmap.edu.in,09-07-2025,09-07-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/rainfall-simulator.pdf,https://example.com/po/PO-1046.pdf,31-01-2022,500000,BuildTest Equipments,02-09-2026,DST Project,28-08-2026,23-08-2026
JC BOSE Block,JC314,Stereo Microscope,Electronics and Communication,Dr. N. Javid,incharge.jc314@srmap.edu.in,12-09-2025,12-09-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/stereo-microscope.pdf,https://example.com/po/PO-1047.pdf,07-02-2023,350000,EnviroLab India,30-04-2026,Institute Fund,08-08-2026,30-05-2026
JC BOSE Block,JC315,Rainfall Simulator,Chemistry,Dr. O. Sireesha,incharge.jc315@srmap.edu.in,12-09-2025,12-09-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/rainfall-simulator.pdf,https://example.com/po/PO-1048.pdf,09-04-2020,250000,BuildTest Equipments,29-07-2026,DST Project,08-08-2026,02-07-2026
JC BOSE Block,JC315,Hydraulic Flume,Electrical Engineering,Dr. O. Sireesha,incharge.jc315@srmap.edu.in,12-09-2025,12-09-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/hydraulic-flume.pdf,https://example.com/po/PO-1049.pdf,23-10-2023,250000,EnviroLab India,12-10-2026,Department Budget,08-08-2026,22-09-2026
JC BOSE Block,JC315,Muffle Furnace,Environmental Science,Dr. O. Sireesha,incharge.jc315@srmap.edu.in,24-06-2025,24-06-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/muffle-furnace.pdf,https://example.com/po/PO-1050.pdf,15-12-2025,750000,EnviroLab India,29-07-2026,Consultancy Fund,19-06-2026,24-07-2026
JC BOSE Block,JC315,Permeability Apparatus,Electrical Engineering,Dr. O. Sireesha,incharge.jc315@srmap.edu.in,09-07-2025,09-07-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/permeability-apparatus.pdf,https://example.com/po/PO-1051.pdf,25-07-2023,75000,SRM Scientific Supplies,14-06-2027,Department Budget,11-12-2026,21-11-2026
JC BOSE Block,JC318,Rainfall Simulator,Physics,Dr. P. Pranav,incharge.jc318@srmap.edu.in,15-05-2025,15-05-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/rainfall-simulator.pdf,https://example.com/po/PO-1052.pdf,23-09-2023,75000,EnviroLab India,21-06-2026,Consultancy Fund,25-05-2026,17-06-2026
JC BOSE Block,JC318,Sieve Shaker,Electrical Engineering,Dr. P. Pranav,incharge.jc318@srmap.edu.in,09-07-2025,09-07-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/sieve-shaker.pdf,https://example.com/po/PO-1053.pdf,12-10-2023,45000,LabTech Instruments,12-10-2026,Consultancy Fund,08-08-2026,17-06-2026
JC BOSE Block,JC318,Vicat Apparatus,Physics,Dr. P. Pranav,incharge.jc318@srmap.edu.in,11-11-2025,11-11-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/vicat-apparatus.pdf,https://example.com/po/PO-1054.pdf,04-07-2023,45000,BuildTest Equipments,21-06-2026,DST Project,02-10-2026,23-08-2026
JC BOSE Block,JC318,Permeability Apparatus,Environmental Science,Dr. P. Pranav,incharge.jc318@srmap.edu.in,09-06-2025,09-06-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/permeability-apparatus.pdf,https://example.com/po/PO-1055.pdf,06-08-2024,750000,BuildTest Equipments,09-02-2027,CSR Grant,11-12-2026,24-07-2026
JC BOSE Block,JC318,Slump Cone Set,Electrical Engineering,Dr. P. Pranav,incharge.jc318@srmap.edu.in,11-11-2025,11-11-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/slump-cone-set.pdf,https://example.com/po/PO-1056.pdf,19-04-2020,750000,EnviroLab India,12-10-2026,SERB Project,28-08-2026,24-07-2026
JC BOSE Block,JC319,Vicat Apparatus,Physics,Dr. Q. Ranjit,incharge.jc319@srmap.edu.in,12-09-2025,12-09-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/vicat-apparatus.pdf,https://example.com/po/PO-1057.pdf,11-02-2020,75000,Precision Instruments,09-02-2027,SERB Project,19-06-2026,02-07-2026
JC BOSE Block,JC319,Ductility Testing Machine,Mechanical Engineering,Dr. Q. Ranjit,incharge.jc319@srmap.edu.in,24-06-2025,24-06-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/ductility-testing-machine.pdf,https://example.com/po/PO-1058.pdf,01-05-2023,125000,GeoSense Systems,29-07-2026,DST Project,14-07-2026,23-08-2026
JC BOSE Block,JC320,Analytical Balance,Physics,Dr. R. Sudeshna,incharge.jc320@srmap.edu.in,09-07-2025,09-07-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/analytical-balance.pdf,https://example.com/po/PO-1059.pdf,28-03-2025,500000,LabTech Instruments,12-10-2026,DST Project,14-07-2026,23-08-2026
JC BOSE Block,JC320,pH Meter,Civil Engineering,Dr. R. Sudeshna,incharge.jc320@srmap.edu.in,11-11-2025,11-11-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/ph-meter.pdf,https://example.com/po/PO-1060.pdf,01-04-2021,500000,EnviroLab India,12-10-2026,Institute Fund,28-08-2026,22-09-2026
JC BOSE Block,JC320,Concrete Mixer,Chemistry,Dr. R. Sudeshna,incharge.jc320@srmap.edu.in,11-11-2025,11-11-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/concrete-mixer.pdf,https://example.com/po/PO-1061.pdf,06-01-2022,180000,EnviroLab India,29-07-2026,DST Project,08-08-2026,21-11-2026
JC BOSE Block,JC401,Ductility Testing Machine,Chemistry,Dr. S. Sujit,incharge.jc401@srmap.edu.in,12-09-2025,12-09-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/ductility-testing-machine.pdf,https://example.com/po/PO-1062.pdf,07-08-2021,125000,EnviroLab India,02-09-2026,DST Project,02-10-2026,21-11-2026
JC BOSE Block,JC401,GPS Handheld Unit,Civil Engineering,Dr. S. Sujit,incharge.jc401@srmap.edu.in,09-07-2025,09-07-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/gps-handheld-unit.pdf,https://example.com/po/PO-1063.pdf,21-12-2019,75000,Precision Instruments,30-04-2026,Consultancy Fund,28-08-2026,23-08-2026
